path,destination,note,size_bytes
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-28-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/leslie-michael-friends-night-at-katy-vibes-2026-05-17-82abfb432c4e-2026-05-16-leslie-michael-band-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2848867
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-30-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-nights-live-crawfish-at-katy-vibes-2026-04-09-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/amateur-night-at-katy-vibes-2026-04-14-05e637f0ff62-2026-04-13-open-mic-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,995608
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-21-23d88d3b2784-karaoke-battles-crawfish-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3867072
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-04-22-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-05-09-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-05-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/line-dancing-with-rose-at-katy-vibes-2026-06-26-0cb9091a25f6-2026-06-25-rose-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2068245
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-28-23d88d3b2784-karaoke-battles-crawfish-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3867072
public/uploads/events-manager/katy-idol-grand-finale-at-katy-vibes-2026-05-30-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/line-dancing-with-rose-at-katy-vibes-2026-04-24-7b89ee1ba7db-2026-04-23-rose-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2066610
public/uploads/events-manager/kentucky-derby-watch-party-at-katy-vibes-2026-05-02-51c05c8146c7-2026-05-02-kentucky-derby-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,1180472
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-12-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-04-18-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-11-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/karaoke-crawfish-nights-at-katy-vibes-2026-04-04-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-06-03-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/cinco-de-mayo-party-at-katy-vibes-2026-05-05-e3b4387b52bd-2026-05-05-cinco-de-mayo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4353991
public/uploads/events-manager/line-dancing-with-rose-at-katy-vibes-2026-05-08-d2eacc4ab47e-2026-05-28-rose-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2067863
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-04-15-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-06-17-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/line-dancing-with-gloria-at-katy-vibes-2026-04-10-dbd144e87dc7-2026-04-09-gloria-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2226847
public/uploads/events-manager/vibe-district-party-band-at-katy-vibes-2026-05-03-9c3e9a835e7b-2026-05-03-vibe-district-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,784081
public/uploads/events-manager/party-on-the-patio-at-katy-vibes-2026-06-13-c01feae8ed38-party-on-the-patio-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,4313124
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-13-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-04-04-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-05-02-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/line-dance-with-natasha-at-katy-vibes-2026-04-17-6478146f0994-2026-04-16-natasha-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3083514
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-05-16-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/sympli-lovely-sings-the-blues-at-katy-vibes-2026-04-12-d79f6b8066c8-2026-04-12-sympli-sings-the-blues-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,880719
public/uploads/events-manager/line-dancing-with-rose-at-katy-vibes-2026-06-12-0cb9091a25f6-2026-06-25-rose-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2068245
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-31-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/cool-breeze-live-at-katy-vibes-2026-04-12-ee479b6135f4-2026-04-11-cool-breeze-ver1-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,821999
public/uploads/events-manager/ncaa-final-four-watch-party-at-katy-vibes-2026-04-05-bf2805d8a545-2026-04-04-ncaa-final-4-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,767479
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-04-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/line-dancing-with-rose-at-katy-vibes-2026-04-03-7b89ee1ba7db-2026-04-02-rose-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2066610
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-20-23d88d3b2784-karaoke-battles-crawfish-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,3867072
public/uploads/events-manager/the-klockwork-band-live-at-katy-vibes-2026-04-26-3156b722e338-2026-04-25-klockwork-band-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,711252
public/uploads/events-manager/karaoke-crawfish-nights-at-katy-vibes-2026-04-25-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/clean-comedy-afternoon-at-katy-vibes-2026-05-24-d5cf1dcd50a1-2026-05-24-comedy-show-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,767329
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-17-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/line-dancing-with-rose-at-katy-vibes-2026-05-29-d2eacc4ab47e-2026-05-28-rose-line-dancing-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2067863
public/uploads/events-manager/easter-gospel-concert-at-katy-vibes-2026-04-05-cead99925c6e-2026-04-05-easter-gospel-show-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,982858
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-05-13-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-06-10-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-04-25-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/mister-houston-live-at-katy-vibes-2026-04-19-2ea2d0452dde-2026-04-19-mr-houston-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,909774
public/uploads/events-manager/sympli-lovely-blues-night-at-katy-vibes-2026-05-17-ac9a62468223-2026-05-17-sympli-sings-the-blues-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,880762
public/uploads/events-manager/r-b-night-with-unorthodox-band-at-katy-vibes-2026-05-03-177377cbd29e-2026-05-02-unorthodox-band-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,813952
public/uploads/events-manager/katy-idol-2026-at-katy-vibes-2026-05-23-96dce864fad9-2026-04-katy-idol-spring-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,905894
public/uploads/events-manager/karaoke-night-at-katy-vibes-2026-05-10-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/r-b-night-with-robert-allen-berry-at-katy-vibes-2026-05-10-53bec1bb0353-2026-05-09-robert-allen-berry-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,666684
public/uploads/events-manager/mother-s-day-tribute-show-at-katy-vibes-2026-05-10-1919f95d7d66-2026-05-10-mothers-day-1500-x-1800.jpg,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,987565
public/uploads/events-manager/karaoke-nights-at-katy-vibes-2026-06-07-c1d38babbbdd-new-karaoke-flyer-crawfish-banner-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2463112
public/uploads/events-manager/music-bingo-tuesdays-at-katy-vibes-2026-07-01-173787f8442c-music-bingo-1500-x-1800.png,Review / bridge,Event flyer assets; useful to events page but owned by event/reservation pipeline,2001582
_patch_backups/v122e_optional_template_fields_20260526225726/lib/mobileConfirmationCenter.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",27021
_patch_backups/v117E_sheet_creation_confirm_20260524_225516/lib/reservationIntegrations.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",60109
_patch_backups/v122b_confirmation_center_backend_20260526215335/prisma/schema.prisma,Do not copy,"Secrets, local data, generated output, backups, or transient files",5891
_patch_backups/v122b_confirmation_center_backend_20260526215335/scripts/kvrs-resync-sheets-route-v120-wrapper.template.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",10829
_patch_backups/v122d_confirmation_center_clean_customer_text_20260526224824/lib/mobileConfirmationCenter.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",25747
_patch_backups/v117_checkout_flow_20260524_212213/app/styles.css,Do not copy,"Secrets, local data, generated output, backups, or transient files",70495
_patch_backups/v117_checkout_flow_20260524_212213/prisma/schema.prisma,Do not copy,"Secrets, local data, generated output, backups, or transient files",5260
_patch_backups/v117_checkout_flow_20260524_212213/prisma/dev.db,Do not copy,"Secrets, local data, generated output, backups, or transient files",688128
_patch_backups/v117_checkout_flow_20260524_212213/components/TicketTypeCard.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",3002
_patch_backups/v117_checkout_flow_20260524_212213/lib/inventory.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",21017
_patch_backups/v117_checkout_flow_20260524_212213/lib/reservationDeletion.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",6808
_patch_backups/v122c_confirmation_center_safe_inquiry_display_20260526224558/lib/mobileConfirmationCenter.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",17730
_patch_backups/v118B_stripe_client_export_20260525_002344/lib/stripe.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",184
_patch_backups/v118_stripe_refund_delete_20260525_001930/components/AdminDeleteReservationButton.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",1574
_patch_backups/v118_stripe_refund_delete_20260525_001930/lib/reservationDeletion.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",4798
_patch_backups/v118_stripe_refund_delete_20260525_001930/lib/reservationIntegrations.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",63941
_patch_backups/v119_spothopper_ticket_sales_display_20260525_003344/app/styles.css,Do not copy,"Secrets, local data, generated output, backups, or transient files",70983
_patch_backups/v117F_sheet_rebuild_date_cache_20260524_230524/lib/reservationIntegrations.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",61477
.kvrs_specials_customer_copy_fix_backup_20260527_202645/app/specials/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",4653
app/admin/events/new/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,611
app/api/chat/reservation-request/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1367
app/api/chat/events/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,370
app/api/admin/events-manager-sync/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,565
app/api/manager/reservations/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,2277
app/api/manager/events/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1728
app/api/mobile/v1/_utils.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,7047
app/api/mobile/v1/_auth.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1044
app/api/automation/reservations/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,8090
app/api/automation/flyers/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,7105
app/api/automation/ticket-sales/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,8504
app/api/automation/events/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,12935
app/api/orders/confirm-session/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,959
app/api/orders/by-session/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1780
app/api/stripe/webhook/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,5217
.kvrs_customer_text_cleanup_backup_20260527_200109/app/events/[slug]/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",3178
public/uploads/katyvibes-site/drinks/image-19.jpg,KV Website,Public website/content/marketing file,31564
public/uploads/katyvibes-site/drinks/image-18.jpg,KV Website,Public website/content/marketing file,16032
public/uploads/katyvibes-site/drinks/image-08.jpg,KV Website,Public website/content/marketing file,93005
public/uploads/katyvibes-site/drinks/image-20.jpg,KV Website,Public website/content/marketing file,89013
public/uploads/katyvibes-site/drinks/image-09.jpg,KV Website,Public website/content/marketing file,16168
public/uploads/katyvibes-site/drinks/image-04.jpg,KV Website,Public website/content/marketing file,29902
public/uploads/katyvibes-site/drinks/image-10.jpg,KV Website,Public website/content/marketing file,31583
public/uploads/katyvibes-site/drinks/image-11.jpg,KV Website,Public website/content/marketing file,77363
public/uploads/katyvibes-site/drinks/image-05.jpg,KV Website,Public website/content/marketing file,75887
public/uploads/katyvibes-site/drinks/image-13.jpg,KV Website,Public website/content/marketing file,26096
public/uploads/katyvibes-site/drinks/image-07.jpg,KV Website,Public website/content/marketing file,26242
public/uploads/katyvibes-site/drinks/image-06.jpg,KV Website,Public website/content/marketing file,14170
public/uploads/katyvibes-site/drinks/image-12.jpg,KV Website,Public website/content/marketing file,13878
public/uploads/katyvibes-site/drinks/image-16.jpg,KV Website,Public website/content/marketing file,31514
public/uploads/katyvibes-site/drinks/image-02.jpg,KV Website,Public website/content/marketing file,87521
public/uploads/katyvibes-site/drinks/image-03.jpg,KV Website,Public website/content/marketing file,16335
public/uploads/katyvibes-site/drinks/image-17.jpg,KV Website,Public website/content/marketing file,93373
public/uploads/katyvibes-site/drinks/manifest.json,KV Website,Public website/content/marketing file,4634
public/uploads/katyvibes-site/drinks/image-01.jpg,KV Website,Public website/content/marketing file,72444
public/uploads/katyvibes-site/drinks/image-15.jpg,KV Website,Public website/content/marketing file,16540
public/uploads/katyvibes-site/drinks/image-14.jpg,KV Website,Public website/content/marketing file,91021
public/uploads/katyvibes-site/fallback/drink-lemon-drop.svg,KV Website,Public website/content/marketing file,2613
public/uploads/katyvibes-site/fallback/drink-old-fashioned.svg,KV Website,Public website/content/marketing file,2620
public/uploads/katyvibes-site/fallback/drink-strawberry-kiwi.svg,KV Website,Public website/content/marketing file,2648
public/uploads/katyvibes-site/fallback/food-crawfish-rice.svg,KV Website,Public website/content/marketing file,2631
public/uploads/katyvibes-site/fallback/food-sampler-platter.svg,KV Website,Public website/content/marketing file,2624
public/uploads/katyvibes-site/fallback/food-coconut-shrimp.svg,KV Website,Public website/content/marketing file,2628
public/uploads/katyvibes-site/fallback/food-tex-mex-sampler.svg,KV Website,Public website/content/marketing file,2642
public/uploads/katyvibes-site/fallback/drink-hurricane.svg,KV Website,Public website/content/marketing file,2649
public/uploads/katyvibes-site/fallback/food-spinach-dip.svg,KV Website,Public website/content/marketing file,2619
public/uploads/katyvibes-site/fallback/drink-cucumber-martini.svg,KV Website,Public website/content/marketing file,2632
public/uploads/katyvibes-site/fallback/food-salmon-sliders.svg,KV Website,Public website/content/marketing file,2631
public/uploads/katyvibes-site/food/image-19.jpg,KV Website,Public website/content/marketing file,26984
public/uploads/katyvibes-site/food/image-18.jpg,KV Website,Public website/content/marketing file,16004
public/uploads/katyvibes-site/food/image-24.jpg,KV Website,Public website/content/marketing file,15078
public/uploads/katyvibes-site/food/image-23.jpg,KV Website,Public website/content/marketing file,74530
public/uploads/katyvibes-site/food/image-22.jpg,KV Website,Public website/content/marketing file,26154
public/uploads/katyvibes-site/food/image-08.jpg,KV Website,Public website/content/marketing file,66584
public/uploads/katyvibes-site/food/image-20.jpg,KV Website,Public website/content/marketing file,83749
public/uploads/katyvibes-site/food/image-21.jpg,KV Website,Public website/content/marketing file,15270
public/uploads/katyvibes-site/food/image-09.jpg,KV Website,Public website/content/marketing file,14837
public/uploads/katyvibes-site/food/image-04.jpg,KV Website,Public website/content/marketing file,26619
public/uploads/katyvibes-site/food/image-10.jpg,KV Website,Public website/content/marketing file,24070
public/uploads/katyvibes-site/food/image-11.jpg,KV Website,Public website/content/marketing file,105388
public/uploads/katyvibes-site/food/image-05.jpg,KV Website,Public website/content/marketing file,61862
public/uploads/katyvibes-site/food/image-13.jpg,KV Website,Public website/content/marketing file,29987
public/uploads/katyvibes-site/food/image-07.jpg,KV Website,Public website/content/marketing file,23065
public/uploads/katyvibes-site/food/image-06.jpg,KV Website,Public website/content/marketing file,14457
public/uploads/katyvibes-site/food/image-12.jpg,KV Website,Public website/content/marketing file,17123
public/uploads/katyvibes-site/food/image-16.jpg,KV Website,Public website/content/marketing file,35501
public/uploads/katyvibes-site/food/image-02.jpg,KV Website,Public website/content/marketing file,77084
public/uploads/katyvibes-site/food/image-03.jpg,KV Website,Public website/content/marketing file,16160
public/uploads/katyvibes-site/food/image-17.jpg,KV Website,Public website/content/marketing file,82546
public/uploads/katyvibes-site/food/manifest.json,KV Website,Public website/content/marketing file,5451
public/uploads/katyvibes-site/food/image-01.jpg,KV Website,Public website/content/marketing file,72444
public/uploads/katyvibes-site/food/image-15.jpg,KV Website,Public website/content/marketing file,19633
public/uploads/katyvibes-site/food/image-14.jpg,KV Website,Public website/content/marketing file,117280
_patch_backups/v117_checkout_flow_20260524_212213/app/success/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",2197
_patch_backups/v118_stripe_refund_delete_20260525_001930/app/admin/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",29885
_patch_backups/v119_spothopper_ticket_sales_display_20260525_003344/app/admin/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",25978
app/admin/events/[id]/edit/page.tsx,KV ReservationService,Backend/admin/API/AI/reservation operations,1412
app/api/admin/reservations/[id]/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1415
app/api/mobile/v1/reservations/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,15060
app/api/mobile/v1/message-templates/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,470
app/api/mobile/v1/events/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1619
app/api/automation/reservations/resync-sheets/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,10846
app/api/automation/reservations/resync-sheets/route.v119-original.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,5681
_patch_backups/v117_checkout_flow_20260524_212213/app/api/checkout/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",2373
_patch_backups/v118_stripe_refund_delete_20260525_001930/app/admin/checkin/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",2019
_patch_backups/v118_stripe_refund_delete_20260525_001930/app/api/checkin/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",747
app/api/mobile/v1/reservations/[id]/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,4819
app/api/mobile/v1/reservations/unconfirmed/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,481
app/api/mobile/v1/debug/counts/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,3049
_patch_backups/v117_checkout_flow_20260524_212213/app/api/automation/reservations/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",8036
_patch_backups/v117_checkout_flow_20260524_212213/app/api/automation/events/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",12730
_patch_backups/v117_checkout_flow_20260524_212213/app/api/stripe/webhook/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",2059
app/api/mobile/v1/reservations/[id]/send-confirmation/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,567
app/api/mobile/v1/reservations/[id]/confirmation-preview/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,1072
app/api/mobile/v1/reservations/[id]/communications/route.ts,KV ReservationService,Backend/admin/API/AI/reservation operations,614
_patch_backups/v117_checkout_flow_20260524_212213/app/admin/events/[id]/edit/page.tsx,Do not copy,"Secrets, local data, generated output, backups, or transient files",1052
_patch_backups/v117_checkout_flow_20260524_212213/app/api/admin/reservations/[id]/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",1534
_patch_backups/v118_stripe_refund_delete_20260525_001930/app/api/admin/reservations/[id]/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",1189
_patch_backups/v118_stripe_refund_delete_20260525_001930/app/api/mobile/v1/reservations/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",14869
_patch_backups/v117_checkout_flow_20260524_212213/app/api/mobile/v1/reservations/[id]/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",5033
_patch_backups/v118_stripe_refund_delete_20260525_001930/app/api/mobile/v1/reservations/[id]/route.ts,Do not copy,"Secrets, local data, generated output, backups, or transient files",4593
